Customer_Name,Province,Region,Customer_Segment,Cust_id,Phone_Number,Email,Ord_id,Prod_id,Ship_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Order_ID,Order_Date,Order_Priority,Product_Category,Product_Sub_Category,Ship_Mode,Ship_Date
MUHAMMED MACINTYRE,NUNAVUT,NUNAVUT,SMALL BUSINESS,Cust_1,,melnik@gmail.com,Ord_1,Prod_1,SHP_1,261.54,0.04,6,-213.25,35,0.8,3,13-10-2010,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,20-10-2010
CHARLOTTE MELTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_100,13679766899,sakusha@yahoo.com,Ord_247,Prod_1,SHP_342,120.03,0.02,7,-56.06,11.25,0.6,41184,22-09-2011,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,24-09-2011
STEVE NGUYEN,ONTARIO,ONTARIO,CONSUMER,Cust_1002,+1-519-555-162,miami@aol.com,Ord_2593,Prod_1,SHP_3551,153.23,0.08,27,-95.15,4.69,0.68,3460,2/10/2011,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,4/10/2011
XYLONA PRICE,ONTARIO,ONTARIO,CORPORATE,Cust_1006,519-555-0158,jhardin@live.com,Ord_2722,Prod_1,SHP_3731,3508.33,0.04,21,-546.98,35,0.85,36896,3/11/2009,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,3/11/2009
JOHN LUCAS,ONTARIO,ONTARIO,SMALL BUSINESS,Cust_1007,519-555-0177,mwitte@msn.com,Ord_2776,Prod_1,SHP_3812,358.78,0.1,25,-76.9,7.69,0.57,48961,21-07-2009,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,EXPRESS AIR,23-07-2009
JOHN LUCAS,ONTARIO,ONTARIO,SMALL BUSINESS,Cust_1007,519-555-0177,mwitte@msn.com,Ord_2601,Prod_1,SHP_3561,17874.26,0,41,6247.95,19.99,0.58,6403,11/2/2011,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,13-02-2011
BILL OVERFELT,ONTARIO,ONTARIO,CORPORATE,Cust_1008,519-555-0172,lstein@verizon.net,Ord_2652,Prod_1,SHP_3628,1809.21,0.04,33,454.49,5.08,0.59,20451,25-05-2012,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,27-05-2012
BILL OVERFELT,ONTARIO,ONTARIO,CORPORATE,Cust_1008,519-555-0172,lstein@verizon.net,Ord_2652,Prod_6,SHP_3628,53.72,0.1,6,2.82,2.01,0.39,20451,25-05-2012,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR,27-05-2012
ROBERT MARLEY,ONTARIO,ONTARIO,CORPORATE,Cust_1010,+1-519-555-172,redingtn@yahoo.com,Ord_2632,Prod_1,SHP_3600,391.23,0.07,24,-27.98,6.25,0.58,14854,28-04-2010,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,2/5/2010
MICK HERNANDEZ,ONTARIO,ONTARIO,HOME OFFICE,Cust_1011,+1-519-555-191,joehall@sbcglobal.net,Ord_2726,Prod_1,SHP_3737,481.27,0.01,28,-128.89,11.25,0.6,38117,20-04-2010,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,25-04-2010
